Year,Country,Country (Code),Attribute,Attribute (Code),Sector (NACE rev. 2),Sector (NACE rev. 2) (Code),Unit,Value
2008,Austria,AT,Number of persons employed,V16110,Wooden furniture,bC31,Number of people employed,12087.820993894342
2008,Austria,AT,Turnover,V12110,Agriculture,A01,Million euros,6568.5
2008,Austria,AT,Turnover,V12110,Beverage,C11,Million euros,4310.8
2008,Austria,AT,Turnover,V12110,Bio-based chemicals (excluding biofuels),bchem,Million euros,649.8294488337821
2008,Austria,AT,Turnover,V12110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Million euros,2744.1689778071213
2008,Austria,AT,Turnover,V12110,Bio-based electricity,bD3511,Million euros,284.7062209542696
2008,Austria,AT,Turnover,V12110,Bio-based pharmaceuticals,bC21,Million euros,2020.8587957780737
2008,Austria,AT,Turnover,V12110,Bio-based textile,bC13,Million euros,568.1488677107584
2008,Austria,AT,Turnover,V12110,Bio-based textiles,bTEXT,Million euros,1449.2242725724127
2008,Austria,AT,Turnover,V12110,Bio-based wearing apparel,bC14,Million euros,340.67540486165433
2008,Austria,AT,Turnover,V12110,Biodiesel,Biod,Million euros,397.67710652077824
2008,Austria,AT,Turnover,V12110,Bioeconomy,bTOTC,Million euros,46630.753021437966
2008,Austria,AT,Turnover,V12110,Bioethanol,Bioeth,Million euros,0
2008,Austria,AT,Turnover,V12110,Fishing and Aquaculture,A03,Million euros,34.2
2008,Austria,AT,Turnover,V12110,Food,C10,Million euros,13708.1
2008,Austria,AT,Turnover,V12110,"Food, beverage and tobacco",C10-12,Million euros,18018.9
2008,Austria,AT,Turnover,V12110,Forestry,A02,Million euros,2276.6
2008,Austria,AT,Turnover,V12110,Leather,bC15,Million euros,540.4000000000001
2008,Austria,AT,Turnover,V12110,Liquid biofuels,bFUEL,Million euros,397.67710652077824
2008,Austria,AT,Turnover,V12110,Paper,bC17,Million euros,6198.362500000001
2008,Austria,AT,Turnover,V12110,Rubber and bio-based plastics,bC22,Million euros,73.48073319526553
2008,Austria,AT,Turnover,V12110,Wood products,bC16,Million euros,7369.767243461139
2008,Austria,AT,Turnover,V12110,Wood products and furniture,bC16-bC31,Million euros,8658.413943583373
2008,Austria,AT,Turnover,V12110,Wooden furniture,bC31,Million euros,1288.6467001222347
2008,Austria,AT,Value added at factor cost,V12150,Agriculture,A01,Million euros,2884.2
2008,Austria,AT,Value added at factor cost,V12150,Beverage,C11,Million euros,944.8
2008,Austria,AT,Value added at factor cost,V12150,Bio-based chemicals (excluding biofuels),bchem,Million euros,234.41214942896667
2008,Austria,AT,Value added at factor cost,V12150,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Million euros,1006.5231726136183
2008,Austria,AT,Value added at factor cost,V12150,Bio-based electricity,bD3511,Million euros,144.90718516630477
2008,Austria,AT,Value added at factor cost,V12150,Bio-based pharmaceuticals,bC21,Million euros,750.8719523509192
2008,Austria,AT,Value added at factor cost,V12150,Bio-based textile,bC13,Million euros,181.85347060391322
2008,Austria,AT,Value added at factor cost,V12150,Bio-based textiles,bTEXT,Million euros,424.7542297502497
2008,Austria,AT,Value added at factor cost,V12150,Bio-based wearing apparel,bC14,Million euros,101.0757591463365
2008,Austria,AT,Value added at factor cost,V12150,Biodiesel,Biod,Million euros,85.60033593538546
2008,Austria,AT,Value added at factor cost,V12150,Bioeconomy,bTOTC,Million euros,14008.694355774298
2008,Austria,AT,Value added at factor cost,V12150,Bioethanol,Bioeth,Million euros,0
2008,Austria,AT,Value added at factor cost,V12150,Fishing and Aquaculture,A03,Million euros,11
2008,Austria,AT,Value added at factor cost,V12150,Food,C10,Million euros,3361.5
2008,Austria,AT,Value added at factor cost,V12150,"Food, beverage and tobacco",C10-12,Million euros,4306.3
2008,Austria,AT,Value added at factor cost,V12150,Forestry,A02,Million euros,1047.7
2008,Austria,AT,Value added at factor cost,V12150,Leather,bC15,Million euros,141.825
2008,Austria,AT,Value added at factor cost,V12150,Liquid biofuels,bFUEL,Million euros,85.60033593538546
2008,Austria,AT,Value added at factor cost,V12150,Paper,bC17,Million euros,1598.3625
2008,Austria,AT,Value added at factor cost,V12150,Rubber and bio-based plastics,bC22,Million euros,21.239070833732356
2008,Austria,AT,Value added at factor cost,V12150,Wood products,bC16,Million euros,2029.589457396127
2008,Austria,AT,Value added at factor cost,V12150,Wood products and furniture,bC16-bC31,Million euros,2499.3469323087397
2008,Austria,AT,Value added at factor cost,V12150,Wooden furniture,bC31,Million euros,469.7574749126127
2008,Belgium,BE,Location Quotient,LQ_EU,Agriculture,A01,Ratio,0.2534490330074697
2008,Belgium,BE,Location Quotient,LQ_EU,Beverage,C11,Ratio,1.065055919428585
2008,Belgium,BE,Location Quotient,LQ_EU,Bio-based chemicals (excluding biofuels),bchem,Ratio,1.4544923882956198
2008,Belgium,BE,Location Quotient,LQ_EU,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Ratio,1.4009671145113705
2008,Belgium,BE,Location Quotient,LQ_EU,Bio-based electricity,bD3511,Ratio,1.9590588145063865
2008,Belgium,BE,Location Quotient,LQ_EU,Bio-based pharmaceuticals,bC21,Ratio,1.5989317743853555
2008,Belgium,BE,Location Quotient,LQ_EU,Bio-based textile,bC13,Ratio,1.3897147235397223
2008,Belgium,BE,Location Quotient,LQ_EU,Bio-based textiles,bTEXT,Ratio,0.47148362952394374
2008,Belgium,BE,Location Quotient,LQ_EU,Bio-based wearing apparel,bC14,Ratio,0.18465212610768628
2008,Belgium,BE,Location Quotient,LQ_EU,Biodiesel,Biod,Ratio,1.014790577174601
2008,Belgium,BE,Location Quotient,LQ_EU,Bioeconomy,bTOTC,Ratio,0.4898605020246228
2008,Belgium,BE,Location Quotient,LQ_EU,Bioethanol,Bioeth,Ratio,3.389904596981952
2008,Belgium,BE,Location Quotient,LQ_EU,Fishing and Aquaculture,A03,Ratio,0.14370036660686694
2008,Belgium,BE,Location Quotient,LQ_EU,Food,C10,Ratio,1.0081613559089113
2008,Belgium,BE,Location Quotient,LQ_EU,"Food, beverage and tobacco",C10-12,Ratio,1.0189430586885369
2008,Belgium,BE,Location Quotient,LQ_EU,Forestry,A02,Ratio,0.213695249661052
2008,Belgium,BE,Location Quotient,LQ_EU,Leather,bC15,Ratio,0.02510310873975638
2008,Belgium,BE,Location Quotient,LQ_EU,Liquid biofuels,bFUEL,Ratio,1.5033688987332523
2008,Belgium,BE,Location Quotient,LQ_EU,Paper,bC17,Ratio,0.8271914802943804
2008,Belgium,BE,Location Quotient,LQ_EU,Rubber and bio-based plastics,bC22,Ratio,0.4214234341428264
2008,Belgium,BE,Location Quotient,LQ_EU,Tobacco,C12,Ratio,1.5078554438463647
2008,Belgium,BE,Location Quotient,LQ_EU,Wood products,bC16,Ratio,0.5308856594971629
2008,Belgium,BE,Location Quotient,LQ_EU,Wood products and furniture,bC16-bC31,Ratio,0.5174802120544051
2008,Belgium,BE,Location Quotient,LQ_EU,Wooden furniture,bC31,Ratio,0.4942824684275536
2008,Belgium,BE,Number of persons employed,V16110,Agriculture,A01,Number of people employed,66400
2008,Belgium,BE,Number of persons employed,V16110,Beverage,C11,Number of people employed,10559
2008,Belgium,BE,Number of persons employed,V16110,Bio-based chemicals (excluding biofuels),bchem,Number of people employed,2482.494977577835
2008,Belgium,BE,Number of persons employed,V16110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Number of people employed,11874.112287581414
2008,Belgium,BE,Number of persons employed,V16110,Bio-based electricity,bD3511,Number of people employed,305.83830434713354
2008,Belgium,BE,Number of persons employed,V16110,Bio-based pharmaceuticals,bC21,Number of people employed,8879.34397190337
2008,Belgium,BE,Number of persons employed,V16110,Bio-based textile,bC13,Number of people employed,8621.84884105652
2008,Belgium,BE,Number of persons employed,V16110,Bio-based textiles,bTEXT,Number of people employed,11039.449451890949
2008,Belgium,BE,Number of persons employed,V16110,Bio-based wearing apparel,bC14,Number of people employed,2297.9756108344277
2008,Belgium,BE,Number of persons employed,V16110,Biodiesel,Biod,Number of people employed,476.9328748639725
2008,Belgium,BE,Number of persons employed,V16110,Bioeconomy,bTOTC,Number of people employed,226861.12106314301
2008,Belgium,BE,Number of persons employed,V16110,Bioethanol,Bioeth,Number of people employed,412.60783911666414
2008,Belgium,BE,Number of persons employed,V16110,Fishing and Aquaculture,A03,Number of people employed,600
2008,Belgium,BE,Number of persons employed,V16110,Food,C10,Number of people employed,88954
2008,Belgium,BE,Number of persons employed,V16110,"Food, beverage and tobacco",C10-12,Number of people employed,101037
2008,Belgium,BE,Number of persons employed,V16110,Forestry,A02,Number of people employed,2400
2008,Belgium,BE,Number of persons employed,V16110,Leather,bC15,Number of people employed,119.62500000000003
2008,Belgium,BE,Number of persons employed,V16110,Liquid biofuels,bFUEL,Number of people employed,889.5407139806366
2008,Belgium,BE,Number of persons employed,V16110,Paper,bC17,Number of people employed,11778
2008,Belgium,BE,Number of persons employed,V16110,Rubber and bio-based plastics,bC22,Number of people employed,512.2733381002095
2008,Belgium,BE,Number of persons employed,V16110,Tobacco,C12,Number of people employed,1524
2008,Belgium,BE,Number of persons employed,V16110,Total sectors,TOT_NACER2,Number of people employed,4445900
2008,Belgium,BE,Number of persons employed,V16110,Wood products,bC16,Number of people employed,13352.877300396125
2008,Belgium,BE,Number of persons employed,V16110,Wood products and furniture,bC16-bC31,Number of people employed,20537.180305342874
2008,Belgium,BE,Number of persons employed,V16110,Wooden furniture,bC31,Number of people employed,7184.303004946747
2008,Belgium,BE,Turnover,V12110,Agriculture,A01,Million euros,8051.6
2008,Belgium,BE,Turnover,V12110,Beverage,C11,Million euros,4704.1
2008,Belgium,BE,Turnover,V12110,Bio-based chemicals (excluding biofuels),bchem,Million euros,1309.9091622050646
2008,Belgium,BE,Turnover,V12110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Million euros,4690.691512695399
2008,Belgium,BE,Turnover,V12110,Bio-based electricity,bD3511,Million euros,788.7067605744602
2008,Belgium,BE,Turnover,V12110,Bio-based pharmaceuticals,bC21,Million euros,3160.3588139064304
2008,Belgium,BE,Turnover,V12110,Bio-based textile,bC13,Million euros,1604.4079070216837
2008,Belgium,BE,Turnover,V12110,Bio-based textiles,bTEXT,Million euros,2078.3667351125273
2008,Belgium,BE,Turnover,V12110,Bio-based wearing apparel,bC14,Million euros,456.52132809084355
2008,Belgium,BE,Turnover,V12110,Biodiesel,Biod,Million euros,222.89859359187633
2008,Belgium,BE,Turnover,V12110,Bioeconomy,bTOTC,Million euros,63426.88252592489
2008,Belgium,BE,Turnover,V12110,Bioethanol,Bioeth,Million euros,488.40134529547527
2008,Belgium,BE,Turnover,V12110,Fishing and Aquaculture,A03,Million euros,167
2008,Belgium,BE,Turnover,V12110,Food,C10,Million euros,33207.2
2008,Belgium,BE,Turnover,V12110,"Food, beverage and tobacco",C10-12,Million euros,38521.299999999996
2008,Belgium,BE,Turnover,V12110,Forestry,A02,Million euros,262.3
2008,Belgium,BE,Turnover,V12110,Leather,bC15,Million euros,17.437500000000004
2008,Belgium,BE,Turnover,V12110,Liquid biofuels,bFUEL,Million euros,711.2999388873516
2008,Belgium,BE,Turnover,V12110,Paper,bC17,Million euros,3741.725
2008,Belgium,BE,Turnover,V12110,Rubber and bio-based plastics,bC22,Million euros,220.42353658390365
2008,Belgium,BE,Turnover,V12110,Tobacco,C12,Million euros,610
2008,Belgium,BE,Turnover,V12110,Wood products,bC16,Million euros,3271.634175042385
2008,Belgium,BE,Turnover,V12110,Wood products and furniture,bC16-bC31,Million euros,4413.892578655165
2008,Belgium,BE,Turnover,V12110,Wooden furniture,bC31,Million euros,1142.2584036127805
2008,Belgium,BE,Value added at factor cost,V12150,Agriculture,A01,Million euros,2367.2
2008,Belgium,BE,Value added at factor cost,V12150,Beverage,C11,Million euros,1209.6
2008,Belgium,BE,Value added at factor cost,V12150,Bio-based chemicals (excluding biofuels),bchem,Million euros,254.404909722283
2008,Belgium,BE,Value added at factor cost,V12150,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Million euros,1980.3032319776487
2008,Belgium,BE,Value added at factor cost,V12150,Bio-based electricity,bD3511,Million euros,111.36648715349168
2008,Belgium,BE,Value added at factor cost,V12150,Bio-based pharmaceuticals,bC21,Million euros,1692.0507532873467
2008,Belgium,BE,Value added at factor cost,V12150,Bio-based textile,bC13,Million euros,363.9262127809924
2008,Belgium,BE,Value added at factor cost,V12150,Bio-based textiles,bTEXT,Million euros,481.0179757811448
2008,Belgium,BE,Value added at factor cost,V12150,Bio-based wearing apparel,bC14,Million euros,111.76676300015241
2008,Belgium,BE,Value added at factor cost,V12150,Biodiesel,Biod,Million euros,50.14455226217213
2008,Belgium,BE,Value added at factor cost,V12150,Bioeconomy,bTOTC,Million euros,14038.916337936693
2008,Belgium,BE,Value added at factor cost,V12150,Bioethanol,Bioeth,Million euros,72.13337484407744
2008,Belgium,BE,Value added at factor cost,V12150,Fishing and Aquaculture,A03,Million euros,41.5
2008,Belgium,BE,Value added at factor cost,V12150,Food,C10,Million euros,5349.9
2008,Belgium,BE,Value added at factor cost,V12150,"Food, beverage and tobacco",C10-12,Million euros,6717.8
2008,Belgium,BE,Value added at factor cost,V12150,Forestry,A02,Million euros,96.9
2008,Belgium,BE,Value added at factor cost,V12150,Leather,bC15,Million euros,5.325000000000001
2008,Belgium,BE,Value added at factor cost,V12150,Liquid biofuels,bFUEL,Million euros,122.27792710624956
2008,Belgium,BE,Value added at factor cost,V12150,Paper,bC17,Million euros,991.6499999999999
2008,Belgium,BE,Value added at factor cost,V12150,Rubber and bio-based plastics,bC22,Million euros,33.84756896801889
2008,Belgium,BE,Value added at factor cost,V12150,Tobacco,C12,Million euros,158.3
2008,Belgium,BE,Value added at factor cost,V12150,Wood products,bC16,Million euros,812.6303002017116
2008,Belgium,BE,Value added at factor cost,V12150,Wood products and furniture,bC16-bC31,Million euros,1128.9007159181579
2008,Belgium,BE,Value added at factor cost,V12150,Wooden furniture,bC31,Million euros,316.2704157164462
2008,Bulgaria,BG,Location Quotient,LQ_EU,Agriculture,A01,Ratio,3.620374416274057
2008,Bulgaria,BG,Location Quotient,LQ_EU,Beverage,C11,Ratio,2.2781871870313313
2008,Bulgaria,BG,Location Quotient,LQ_EU,Bio-based chemicals (excluding biofuels),bchem,Ratio,1.264405591867384
2008,Bulgaria,BG,Location Quotient,LQ_EU,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Ratio,0.7489763092791349
2008,Bulgaria,BG,Location Quotient,LQ_EU,Bio-based electricity,bD3511,Ratio,0.041621758982175
2008,Bulgaria,BG,Location Quotient,LQ_EU,Bio-based pharmaceuticals,bC21,Ratio,0.6881161311503142
2008,Bulgaria,BG,Location Quotient,LQ_EU,Bio-based textile,bC13,Ratio,1.7163899555674613
2008,Bulgaria,BG,Location Quotient,LQ_EU,Bio-based textiles,bTEXT,Ratio,3.8547578520038894
2008,Bulgaria,BG,Location Quotient,LQ_EU,Bio-based wearing apparel,bC14,Ratio,5.607897191992881
2008,Bulgaria,BG,Location Quotient,LQ_EU,Biodiesel,Biod,Ratio,0
2008,Bulgaria,BG,Location Quotient,LQ_EU,Bioeconomy,bTOTC,Ratio,2.761104358846548
2008,Bulgaria,BG,Location Quotient,LQ_EU,Bioethanol,Bioeth,Ratio,3.0223501254598157
2008,Bulgaria,BG,Location Quotient,LQ_EU,Fishing and Aquaculture,A03,Ratio,0.3421844936517528
2008,Bulgaria,BG,Location Quotient,LQ_EU,Food,C10,Ratio,1.3401077472686174
2008,Bulgaria,BG,Location Quotient,LQ_EU,"Food, beverage and tobacco",C10-12,Ratio,1.476832851548056
2008,Bulgaria,BG,Location Quotient,LQ_EU,Forestry,A02,Ratio,2.1826745761018733
2008,Bulgaria,BG,Location Quotient,LQ_EU,Leather,bC15,Ratio,2.0603228971515897
2008,Bulgaria,BG,Location Quotient,LQ_EU,Liquid biofuels,bFUEL,Ratio,0.6217195213135535
2008,Bulgaria,BG,Location Quotient,LQ_EU,Paper,bC17,Ratio,0.846042330318432
2008,Bulgaria,BG,Location Quotient,LQ_EU,Rubber and bio-based plastics,bC22,Ratio,0.3033050678108911
2008,Bulgaria,BG,Location Quotient,LQ_EU,Tobacco,C12,Ratio,5.552331012875039
2008,Bulgaria,BG,Location Quotient,LQ_EU,Wood products,bC16,Ratio,0.9727528398771744
2008,Bulgaria,BG,Location Quotient,LQ_EU,Wood products and furniture,bC16-bC31,Ratio,1.2299055418696572
2008,Bulgaria,BG,Location Quotient,LQ_EU,Wooden furniture,bC31,Ratio,1.6749009423772634
2008,Bulgaria,BG,Number of persons employed,V16110,Agriculture,A01,Number of people employed,716970
2008,Bulgaria,BG,Number of persons employed,V16110,Beverage,C11,Number of people employed,17073
2008,Bulgaria,BG,Number of persons employed,V16110,Bio-based chemicals (excluding biofuels),bchem,Number of people employed,1631.2983221429254
2008,Bulgaria,BG,Number of persons employed,V16110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Number of people employed,4798.564616041118
2008,Bulgaria,BG,Number of persons employed,V16110,Bio-based electricity,bD3511,Number of people employed,4.911734560210884
2008,Bulgaria,BG,Number of persons employed,V16110,Bio-based pharmaceuticals,bC21,Number of people employed,2888.5689729035
2008,Bulgaria,BG,Number of persons employed,V16110,Bio-based textile,bC13,Number of people employed,8049.349153903985
2008,Bulgaria,BG,Number of persons employed,V16110,Bio-based textiles,bTEXT,Number of people employed,68225.69286321235
2008,Bulgaria,BG,Number of persons employed,V16110,Bio-based wearing apparel,bC14,Number of people employed,52754.70534746984
2008,Bulgaria,BG,Number of persons employed,V16110,Biodiesel,Biod,Number of people employed,0
2008,Bulgaria,BG,Number of persons employed,V16110,Bioeconomy,bTOTC,Number of people employed,966586.0614177884
2008,Bulgaria,BG,Number of persons employed,V16110,Bioethanol,Bioeth,Number of people employed,278.07684592968667
2008,Bulgaria,BG,Number of persons employed,V16110,Fishing and Aquaculture,A03,Number of people employed,1080
2008,Bulgaria,BG,Number of persons employed,V16110,Food,C10,Number of people employed,89381
2008,Bulgaria,BG,Number of persons employed,V16110,"Food, beverage and tobacco",C10-12,Number of people employed,110696
2008,Bulgaria,BG,Number of persons employed,V16110,Forestry,A02,Number of people employed,18530
2008,Bulgaria,BG,Number of persons employed,V16110,Leather,bC15,Number of people employed,7421.6383618385225
2008,Bulgaria,BG,Number of persons employed,V16110,Liquid biofuels,bFUEL,Number of people employed,278.07684592968667
2008,Bulgaria,BG,Number of persons employed,V16110,Paper,bC17,Number of people employed,9106
2008,Bulgaria,BG,Number of persons employed,V16110,Rubber and bio-based plastics,bC22,Number of people employed,278.69732099469326
2008,Bulgaria,BG,Number of persons employed,V16110,Tobacco,C12,Number of people employed,4242
2008,Bulgaria,BG,Number of persons employed,V16110,Total sectors,TOT_NACER2,Number of people employed,3360700
2008,Bulgaria,BG,Number of persons employed,V16110,Wood products,bC16,Number of people employed,18494.663221290368
2008,Bulgaria,BG,Number of persons employed,V16110,Wood products and furniture,bC16-bC31,Number of people employed,36896.81535804499
2008,Bulgaria,BG,Number of persons employed,V16110,Wooden furniture,bC31,Number of people employed,18402.152136754623
2008,Bulgaria,BG,Turnover,V12110,Agriculture,A01,Million euros,4914.6
2008,Bulgaria,BG,Turnover,V12110,Beverage,C11,Million euros,913.4
2008,Bulgaria,BG,Turnover,V12110,Bio-based chemicals (excluding biofuels),bchem,Million euros,101.82787172755756
2008,Bulgaria,BG,Turnover,V12110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Million euros,220.70706850933146
2008,Bulgaria,BG,Turnover,V12110,Bio-based electricity,bD3511,Million euros,0.4960017304097243
2008,Bulgaria,BG,Turnover,V12110,Bio-based pharmaceuticals,bC21,Million euros,111.01715728496664
2008,Bulgaria,BG,Turnover,V12110,Bio-based textile,bC13,Million euros,204.02658872894105
2008,Bulgaria,BG,Turnover,V12110,Bio-based textiles,bTEXT,Million euros,696.8724106615393
2008,Bulgaria,BG,Turnover,V12110,Bio-based wearing apparel,bC14,Million euros,430.24636557191815
2008,Bulgaria,BG,Turnover,V12110,Biodiesel,Biod,Million euros,0
2008,Bulgaria,BG,Turnover,V12110,Bioeconomy,bTOTC,Million euros,12444.343240149934
2008,Bulgaria,BG,Turnover,V12110,Bioethanol,Bioeth,Million euros,19.918582927760255
2008,Bulgaria,BG,Turnover,V12110,Fishing and Aquaculture,A03,Million euros,25.9
2008,Bulgaria,BG,Turnover,V12110,Food,C10,Million euros,3499.7
2008,Bulgaria,BG,Turnover,V12110,"Food, beverage and tobacco",C10-12,Million euros,5208.499999999999
2008,Bulgaria,BG,Turnover,V12110,Forestry,A02,Million euros,352.7
2008,Bulgaria,BG,Turnover,V12110,Leather,bC15,Million euros,62.59945636068016
2008,Bulgaria,BG,Turnover,V12110,Liquid biofuels,bFUEL,Million euros,19.918582927760255
2008,Bulgaria,BG,Turnover,V12110,Paper,bC17,Million euros,284.55
2008,Bulgaria,BG,Turnover,V12110,Rubber and bio-based plastics,bC22,Million euros,7.862039496807251
2008,Bulgaria,BG,Turnover,V12110,Tobacco,C12,Million euros,795.4
2008,Bulgaria,BG,Turnover,V12110,Wood products,bC16,Million euros,420.41595222397007
2008,Bulgaria,BG,Turnover,V12110,Wood products and furniture,bC16-bC31,Million euros,720.099176320896
2008,Bulgaria,BG,Turnover,V12110,Wooden furniture,bC31,Million euros,299.6832240969259
2008,Bulgaria,BG,Value added at factor cost,V12150,Agriculture,A01,Million euros,2019.4
2008,Bulgaria,BG,Value added at factor cost,V12150,Beverage,C11,Million euros,212.1
2008,Bulgaria,BG,Value added at factor cost,V12150,Bio-based chemicals (excluding biofuels),bchem,Million euros,15.639312709418444
2008,Bulgaria,BG,Value added at factor cost,V12150,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Million euros,58.78099629755555
2008,Bulgaria,BG,Value added at factor cost,V12150,Bio-based electricity,bD3511,Million euros,0.1634715757295295
2008,Bulgaria,BG,Value added at factor cost,V12150,Bio-based pharmaceuticals,bC21,Million euros,41.44447549230176
2008,Bulgaria,BG,Value added at factor cost,V12150,Bio-based textile,bC13,Million euros,45.07715383839899
2008,Bulgaria,BG,Value added at factor cost,V12150,Bio-based textiles,bTEXT,Million euros,240.17706032851268
2008,Bulgaria,BG,Value added at factor cost,V12150,Bio-based wearing apparel,bC14,Million euros,172.90925181771894
2008,Bulgaria,BG,Value added at factor cost,V12150,Biodiesel,Biod,Million euros,0
2008,Bulgaria,BG,Value added at factor cost,V12150,Bioeconomy,bTOTC,Million euros,3586.969887598582
2008,Bulgaria,BG,Value added at factor cost,V12150,Bioethanol,Bioeth,Million euros,1.0630704371557438
2008,Bulgaria,BG,Value added at factor cost,V12150,Fishing and Aquaculture,A03,Million euros,10
2008,Bulgaria,BG,Value added at factor cost,V12150,Food,C10,Million euros,570.2
